id,glasses,hand,mask,none,other,sunglasses
i00001.jpg,1,0,0,0,0,0
i00002.jpg,1,0,0,0,0,0
i00003.jpg,1,0,0,0,0,0
i00004.jpg,1,0,0,0,0,0
i00005.jpg,1,1,0,0,0,0
i00006.jpg,1,0,0,0,0,0
i00007.jpg,1,0,0,0,0,0
i00008.jpg,1,0,0,0,0,0
i00009.jpg,1,0,0,0,0,0
i00010.jpg,1,0,0,0,0,0
i00011.jpg,1,0,0,0,0,0
i00012.jpg,1,0,0,0,0,0
i00013.jpg,1,0,0,0,0,0
i00014.jpg,1,0,0,0,0,0
i00015.jpg,1,0,0,0,0,0
i00016.jpg,1,0,0,0,0,0
i00017.jpg,1,0,0,0,0,0
i00018.jpg,1,0,0,0,0,0
i00019.jpg,1,0,0,0,0,0
i00020.jpg,1,0,0,0,0,0
i00021.jpg,1,0,0,0,0,0
i00022.jpg,1,0,0,0,0,0
i00023.jpg,1,0,0,0,0,0
i00024.jpg,1,0,0,0,0,0
i00025.jpg,1,0,0,0,0,0
i00026.jpg,1,0,0,0,0,0
i00027.jpg,1,0,0,0,0,0
i00028.jpg,1,0,0,0,0,0
i00029.jpg,1,0,0,0,0,0
i00030.jpg,1,0,0,0,0,0
i00031.jpg,1,0,0,0,0,0
i00032.jpg,1,0,0,0,0,0
i00033.jpg,1,0,0,0,0,0
i00034.jpg,1,0,0,0,0,0
i00035.jpg,1,0,0,0,0,0
i00036.jpg,1,0,0,0,0,0
i00037.jpg,1,0,0,0,0,0
i00038.jpg,1,0,0,0,0,0
i00039.jpg,1,0,0,0,0,0
i00040.jpg,1,0,0,0,0,0
i00041.jpg,1,0,0,0,0,0
i00042.jpg,1,0,0,0,0,0
i00043.jpg,1,0,0,0,0,0
i00044.jpg,1,0,0,0,0,0
i00045.jpg,1,0,0,0,0,0
i00046.jpg,1,0,0,0,0,0
i00047.jpg,1,0,0,0,0,0
i00048.jpg,1,0,0,0,0,0
i00049.jpg,1,0,0,0,0,0
i00050.jpg,1,0,0,0,0,0
i00051.jpg,1,0,0,0,0,0
i00052.jpg,1,0,0,0,0,0
i00053.jpg,1,0,0,0,0,0
i00054.jpg,1,0,0,0,0,0
i00055.jpg,1,0,0,0,0,0
i00056.jpg,1,0,0,0,0,0
i00057.jpg,1,0,0,0,0,0
i00058.jpg,1,0,0,0,0,0
i00059.jpg,1,0,0,0,0,0
i00060.jpg,1,0,0,0,0,0
i00061.jpg,1,0,0,0,0,0
i00062.jpg,1,0,1,0,0,0
i00063.jpg,1,1,0,0,0,0
i00064.jpg,1,0,0,0,0,0
i00065.jpg,1,0,0,0,0,0
i00066.jpg,1,0,0,0,0,0
i00067.jpg,1,0,0,0,0,0
i00068.jpg,1,0,0,0,0,0
i00069.jpg,1,0,0,0,0,0
i00070.jpg,1,0,0,0,0,0
i00071.jpg,1,0,0,0,0,0
i00072.jpg,1,0,0,0,0,0
i00073.jpg,1,0,0,0,0,0
i00074.jpg,1,0,0,0,0,0
i00075.jpg,1,0,0,0,0,0
i00076.jpg,1,0,0,0,0,0
i00077.jpg,1,0,0,0,0,0
i00078.jpg,1,0,0,0,0,0
i00079.jpg,1,0,0,0,1,0
i00080.jpg,1,0,0,0,0,0
i00081.jpg,1,0,0,0,0,0
i00082.jpg,1,0,0,0,0,0
i00083.jpg,1,0,0,0,0,0
i00084.jpg,1,0,0,0,0,0
i00085.jpg,1,0,0,0,0,0
i00086.jpg,1,0,0,0,0,0
i00087.jpg,1,0,0,0,0,0
i00088.jpg,1,0,0,0,0,0
i00089.jpg,1,0,0,0,0,0
i00090.jpg,1,0,0,0,0,0
i00091.jpg,1,0,0,0,0,0
i00092.jpg,1,0,0,0,0,0
i00093.jpg,1,0,0,0,0,0
i00094.jpg,1,0,0,0,0,0
i00095.jpg,1,0,0,0,0,0
i00096.jpg,1,0,0,0,0,0
i00097.jpg,1,0,0,0,0,0
i00098.jpg,1,0,0,0,0,0
i00099.jpg,1,0,0,0,0,0
i00100.jpg,1,0,0,0,0,0
i00101.jpg,1,0,0,0,0,0
i00102.jpg,1,0,0,0,0,0
i00103.jpg,1,0,0,0,0,0
i00104.jpg,1,0,0,0,0,0
i00105.jpg,1,0,0,0,0,0
i00106.jpg,1,0,0,0,0,0
i00107.jpg,1,0,0,0,0,0
i00108.jpg,1,0,0,0,0,0
i00109.jpg,1,0,0,0,0,0
i00110.jpg,1,0,0,0,0,0
i00111.jpg,1,0,0,0,0,0
i00112.jpg,1,0,0,0,1,0
i00113.jpg,1,0,0,0,0,0
i00114.jpg,1,0,0,0,0,0
i00115.jpg,1,0,0,0,0,0
i00116.jpg,1,0,0,0,0,0
i00117.jpg,1,0,0,0,0,0
i00118.jpg,1,0,0,0,0,0
i00119.jpg,1,0,0,0,0,0
i00120.jpg,1,0,0,0,0,0
i00121.jpg,1,0,0,0,0,0
i00122.jpg,1,0,0,0,0,0
i00123.jpg,1,0,0,0,0,0
i00124.jpg,1,0,1,0,0,0
i00125.jpg,1,0,0,0,0,0
i00126.jpg,1,0,0,0,0,0
i00127.jpg,1,0,0,0,0,0
i00128.jpg,1,0,0,0,0,0
i00129.jpg,1,0,0,0,0,0
i00130.jpg,1,0,0,0,0,0
i00131.jpg,1,0,0,0,0,0
i00132.jpg,1,0,0,0,1,0
i00133.jpg,1,1,0,0,0,0
i00134.jpg,1,0,0,0,1,0
i00135.jpg,1,0,0,0,0,0
i00136.jpg,1,0,0,0,0,0
i00137.jpg,1,0,0,0,0,0
i00138.jpg,1,0,0,0,0,0
i00139.jpg,1,0,0,0,0,0
i00140.jpg,1,0,0,0,0,0
i00141.jpg,1,0,0,0,0,0
i00142.jpg,1,0,0,0,0,0
i00143.jpg,1,0,0,0,0,0
i00144.jpg,1,0,0,0,0,0
i00145.jpg,1,0,0,0,0,0
